rep,id,eta_V,eta_k
1,1,0.180365174036288,0.0776173363129608
2,1,0.259325576212804,0.255366740169962
3,1,0.284098860965285,0.516389166884718
4,1,0.132121945912985,0.292479674040177
5,1,0.0810875324232648,0.470434216259135
6,1,0.1345404042546,0.251191477399975
7,1,0.26412991685458,0.0575336375842693
8,1,0.450282568140197,0.176377316063212
9,1,0.326981738848463,0.161055344961468
10,1,0.125233971669677,0.450474932852584
1,2,0.20813782099943,0.356377523134605
2,2,0.209384148514395,0.30998781367798
3,2,0.185139669025408,0.179063137354982
4,2,-0.0206974654431476,0.447231041954507
5,2,0.122881875128855,0.407800200297099
6,2,0.0207915318471342,0.368162619583506
7,2,0.0781840939507649,0.468839901179764
8,2,0.223874098580291,0.332831852392186
9,2,0.15595671922924,0.461360753404759
10,2,0.243081317621975,0.440385141922578
1,3,0.451490196970561,0.283157031485437
2,3,0.286856204057227,0.288575512483474
3,3,0.164043382173674,0.374546759508412
4,3,0.411042864214718,0.264042556909678
5,3,0.0877585874988576,0.503673708804148
6,3,0.267831403639538,0.16374038798036
7,3,0.259894341115821,0.422021828830348
8,3,0.116739448216817,0.35191303693691
9,3,0.191420564751687,0.404701731682502
10,3,0.142776707865095,0.310493354750336
1,4,-0.0573525263820006,0.392091064361476
2,4,0.119190683610762,0.0863578281663845
3,4,0.111976260199026,0.349665540044231
4,4,0.0481224758929871,0.445021233372641
5,4,0.136676564425037,0.185414702931831
6,4,0.288487247816047,-0.131781046632526
7,4,-0.0139231875281148,0.0953142368111576
8,4,-0.0145347561122032,0.357220360571782
9,4,0.00164470140142911,0.299807331377925
10,4,0.0604101414350175,0.193535812127416
1,5,0.0716749988226053,0.116536222736751
2,5,0.169827413092102,0.028126272220358
3,5,-0.015344439763764,0.356091789780244
4,5,0.21294461099751,-0.119537536348628
5,5,0.173467207991354,0.128325488861818
6,5,0.207960859904817,0.00881215258082221
7,5,0.177078665395796,-0.0123461284559004
8,5,0.164847675098418,0.0557065912136729
9,5,0.160435494052643,0.112786475172194
10,5,0.143660047977583,0.0597350934070149
1,6,0.259251625726026,0.121378874812293
2,6,0.18507362368446,0.23775511711857
3,6,0.216092936651579,0.201127234558795
4,6,0.0141759085673715,0.316053586385645
5,6,0.180880622799085,0.186179870639103
6,6,0.0801794394060578,0.180837870738926
7,6,0.246225505185536,0.132084943568908
8,6,0.178454846709208,0.159007863587882
9,6,0.131014673325732,0.262462035768934
10,6,0.124260502111068,0.167215900691537
1,7,0.139676872525474,-0.288738111265326
2,7,0.183049545403456,-0.171276240627213
3,7,0.191858450260272,-0.170269954838106
4,7,0.173456114238042,-0.280892658743254
5,7,0.258579815556662,-0.27068857715107
6,7,0.0506575387532937,-0.238510340891273
7,7,0.286664672746787,-0.416396319746368
8,7,0.271789170682931,-0.284142165123215
9,7,0.310981775060075,-0.275587545386747
10,7,-0.075283354411451,-0.11348667012657
1,8,0.0979780429006098,-0.00919380187792063
2,8,-0.0204740089950079,-0.0237361152607846
3,8,0.0481944272557598,0.0554631253231319
4,8,0.0877319432268022,-0.0559248195099042
5,8,0.131813279159982,0.055217409560515
6,8,0.0979143451912888,0.0978424056962371
7,8,0.178841479603096,0.0570299284685405
8,8,0.0486719616614894,0.0660271870440769
9,8,0.0394102266566883,0.160869062998266
10,8,0.237300392178146,0.0693984332076232
1,9,0.157855364483625,0.408092285331795
2,9,0.0940452530039182,0.272208331045943
3,9,0.243130801738201,0.572980519411881
4,9,0.13857470928175,0.401767125363997
5,9,0.320335470218032,0.569282242403776
6,9,0.20266277004182,0.538954651298934
7,9,0.137712309812893,0.386138366425127
8,9,0.39334296378507,0.353006201211038
9,9,0.313775540191909,0.302590394634557
10,9,0.267974612635718,0.392134235715503
1,10,0.172254140870924,0.423406161497847
2,10,0.292745956124388,0.0800648119801937
3,10,0.290218871113668,0.189830454771956
4,10,0.50622589888636,0.250956788044099
5,10,0.11381322632867,0.273581293522998
6,10,0.0409002657262476,0.319511027399279
7,10,0.116163994148786,0.432950844672149
8,10,0.266431371164394,0.240587917443515
9,10,0.392972421809552,0.247386978981027
10,10,0.314193350066515,0.35567294831567
1,11,0.19191856701113,0.105897518278663
2,11,0.325251873501423,0.0556539370236919
3,11,-0.0695239284123008,0.218362926535636
4,11,0.285703727011256,0.160132892210389
5,11,0.255185032024124,0.174049015502757
6,11,0.20228263568619,0.180677065111297
7,11,0.173275349146328,0.320430583917909
8,11,0.328779276682072,0.143292576400707
9,11,0.120887404578847,0.0599292428883997
10,11,0.316777813437673,0.277750126627855
1,12,0.246755846214521,0.268082598837157
2,12,0.190525770291386,0.265772146505758
3,12,0.0946610407907465,0.247517106606072
4,12,0.107895072755254,0.364828782075089
5,12,-0.00687375452666011,0.399816624963304
6,12,-0.0168850390158623,0.247509465528235
7,12,0.258090924525061,-0.0128750136049208
8,12,0.0546353982231332,0.37448132721044
9,12,0.122292301669699,0.36111851363959
10,12,0.0779133987330014,0.312690937984936
1,13,0.2594584413185,-0.244566317632765
2,13,0.117842314034694,-0.172814333660921
3,13,0.21512615610137,-0.0975608443825154
4,13,0.158535914749951,-0.192165836687509
5,13,0.432317346779357,-0.208571418841826
6,13,0.319728140652464,-0.0380425178468956
7,13,0.139578304557795,-0.0230790809412105
8,13,0.0723092436576143,-0.0860227957878429
9,13,0.126586999450542,-0.0776319832321461
10,13,0.350841407050558,-0.152671425100248
1,14,0.140538384146323,0.0830430938616492
2,14,0.017571431844489,-0.00407443136102914
3,14,0.0740143441665375,-0.0414636071382329
4,14,0.161235079556104,-0.0827582268768937
5,14,0.132607285253645,0.0567363835182151
6,14,0.223757988188442,-0.000930657952610006
7,14,0.125812567313215,0.0328445342157829
8,14,0.0778340296318055,0.0714200156408745
9,14,0.153695390837094,0.0298386583319393
10,14,0.137661491466167,-0.0690855390538062
1,15,-0.0660717269671245,0.110800260144852
2,15,0.0487440672214851,0.333973851883614
3,15,0.12651796337574,0.141279550007081
4,15,-0.14658655006394,0.163644674004769
5,15,0.0949908138912201,0.0995356473706321
6,15,0.057406242375073,0.199724275559456
7,15,-0.0671535388483794,0.232112610981619
8,15,0.00164982122582073,0.24029660537181
9,15,-0.00420613159098421,0.398269464726796
10,15,0.00159842695312346,-0.0186740176481519
