rep,ID,standEta_Cl_simulated,standEta_V1_simulated,standEta_Q_simulated,standEta_V2_simulated,filter
0,1,1.19847,0.0763975,0.0224515,1.32255,0
1,1,1.36777,-0.505454,0.035612,1.13877,0
2,1,1.12455,0.545911,-0.139564,1.39119,0
3,1,0.949682,-1.49557,0.199228,1.52614,0
4,1,1.00751,0.188484,0.0812765,0.7295,0
5,1,0.927101,-0.580531,0.344626,1.48142,0
6,1,0.545942,-1.31918,0.190588,1.28595,0
7,1,1.14724,0.270062,-0.0820225,1.37756,0
8,1,1.40034,-0.640947,-0.0291945,1.27778,0
9,1,1.23194,-0.191985,-0.0264983,1.04077,0
0,2,0.741167,-0.530995,0.0799092,-0.430875,0
1,2,0.767428,-0.212079,-0.63459,-0.237317,0
2,2,0.393106,0.344737,-1.39161,0.517868,0
3,2,0.923111,-0.277454,-0.446211,-0.730497,0
4,2,1.0703,-0.846919,-0.177216,-0.300656,0
5,2,1.00283,-0.317934,-0.883001,-0.351644,0
6,2,0.685895,-0.612469,-0.78567,-0.482344,0
7,2,0.916698,0.104616,-1.1997,-0.708947,0
8,2,1.03898,0.147105,-0.88778,-0.67351,0
9,2,0.509181,-0.0309625,-1.25943,-0.274351,0
0,3,1.00378,-1.42076,1.45625,0.359267,0
1,3,0.866774,-0.465306,0.977253,0.26162,0
2,3,1.05258,0.861595,-0.508739,-0.670934,0
3,3,0.831491,-0.176418,0.145741,-0.0384421,0
4,3,1.06892,1.43809,0.12083,-0.577632,0
5,3,0.807376,0.930235,-0.417352,-0.287685,0
6,3,0.673523,1.36803,0.445278,-1.47764,0
7,3,1.04742,-1.55522,1.33255,0.342604,0
8,3,0.780438,0.991086,-0.303652,-0.436766,0
9,3,0.913113,0.643332,-0.610252,-0.713572,0
0,4,-0.236919,-0.529533,-0.158322,-0.704597,0
1,4,-0.185975,-0.586319,0.133576,-0.333332,0
2,4,-0.180109,0.535926,-0.809787,-0.598992,0
3,4,-0.429551,0.14473,-0.212097,-0.418441,0
4,4,-0.628185,-0.0126699,-0.067907,-0.0310396,0
5,4,-0.236136,-0.269262,0.527804,-0.345222,0
6,4,-0.316275,1.37289,-2.05123,-0.9924,0
7,4,-0.543361,-0.639884,0.624175,-0.333389,0
8,4,-0.0220708,0.441212,-0.0775921,-0.387315,0
9,4,-0.387256,0.120539,-0.402462,-0.632668,0
0,5,-0.629667,-0.60219,-1.50305,0.120161,0
1,5,-0.517619,-0.270221,-1.6453,0.032312,0
2,5,-0.575036,0.150354,-2.23005,0.0710634,0
3,5,-0.85148,-0.117593,-1.80149,-0.0542218,0
4,5,-0.652027,-0.160933,-2.13532,1.17008,0
5,5,-0.426427,-0.19918,-1.81622,0.342519,0
6,5,-0.580257,0.188527,-1.87604,1.30488,0
7,5,-0.550812,-0.290769,-1.77105,0.186938,0
8,5,-0.40216,-0.090819,-2.00147,0.453227,0
9,5,-0.659357,-0.496935,-1.27841,0.424124,0
0,6,0.554495,1.07539,-0.251119,-0.863058,0
1,6,0.770888,0.589353,-0.673486,-1.0387,0
2,6,0.235691,2.04097,-2.03333,0.558178,0
3,6,0.148573,-0.648816,0.904648,-0.0686268,0
4,6,0.432003,0.324389,0.588955,-0.247379,0
5,6,0.366758,1.25392,-1.04183,-0.618696,0
6,6,0.0658724,-0.500433,0.754525,0.157421,0
7,6,0.00910686,0.210815,-0.120167,-0.112485,0
8,6,0.417539,1.70221,-1.73176,0.157492,0
9,6,0.140856,-0.630645,0.888423,-0.0182954,0
0,7,-1.80795,0.235276,1.52606,1.2164,0
1,7,-1.6083,0.620966,1.95175,1.35808,0
2,7,-1.52722,2.54827,0.550202,0.00800073,0
3,7,-2.03837,3.51576,0.967111,0.649178,0
4,7,-1.7011,0.890085,1.30183,1.31212,0
5,7,-1.61777,0.353987,1.26275,1.40867,0
6,7,-1.76369,0.374921,1.74066,1.37494,0
7,7,-1.78616,3.40395,0.584404,0.238182,0
8,7,-1.74894,1.68043,2.22129,1.06572,0
9,7,-1.65294,0.709083,1.64374,1.303,0
0,8,-1.33331,-1.2048,2.59539,-0.446549,0
1,8,-1.18253,0.257022,-0.0595979,-1.04928,0
2,8,-1.37882,-0.296665,0.937596,-0.840684,0
3,8,-1.15754,-0.0690337,-0.291055,-0.95435,0
