rep,ID,standEta_V_simulated,standEta_Cl_simulated,filter
0,1,0.114411,0.476713,0
1,1,0.297698,0.511432,0
2,1,0.163359,1.04216,0
3,1,-0.00731318,0.768191,0
4,1,1.04694,1.38463,0
5,1,0.471944,0.909056,0
6,1,0.156863,0.900838,0
7,1,1.24137,1.6296,0
8,1,0.854632,0.906501,0
9,1,0.120391,1.23048,0
0,2,-0.58839,1.01458,0
1,2,-0.944057,0.651931,0
2,2,-0.413609,0.608583,0
3,2,-1.3143,0.465433,0
4,2,-0.482942,1.10679,0
5,2,-1.116,0.778712,0
6,2,-0.723217,1.00837,0
7,2,-0.131362,1.13817,0
8,2,-0.545996,1.13011,0
9,2,-0.22465,1.4461,0
0,3,0.994973,1.21888,0
1,3,0.0260597,0.722469,0
2,3,1.06673,1.5641,0
3,3,0.157608,0.926559,0
4,3,0.230376,0.828514,0
5,3,-0.639172,0.306594,0
6,3,-0.0815848,0.526324,0
7,3,0.81976,1.3882,0
8,3,0.181414,0.968232,0
9,3,-0.939227,0.409122,0
0,4,0.264412,0.336482,0
1,4,-0.474087,-0.463989,0
2,4,-0.123049,-0.0496923,0
3,4,-0.166587,0.382574,0
4,4,-0.340039,-0.217033,0
5,4,0.212512,-0.05576,0
6,4,-1.20597,-0.484111,0
7,4,-0.494821,-0.0762159,0
8,4,0.359977,0.506439,0
9,4,-0.770194,-0.429484,0
0,5,0.758111,-0.314467,0
1,5,-0.0115036,-0.768925,0
2,5,0.941249,-0.285593,0
3,5,-0.051597,-0.726308,0
4,5,0.826933,0.113392,0
5,5,-0.450942,-1.44533,0
6,5,-0.977214,-1.31516,0
7,5,0.696524,0.128859,0
8,5,-0.00580056,-0.400084,0
9,5,-0.595013,-0.99557,0
0,6,1.16676,0.315505,0
1,6,-0.553176,0.0918378,0
2,6,1.39928,0.57895,0
3,6,-0.306745,-0.375696,0
4,6,0.588903,0.376348,0
5,6,0.815145,0.744798,0
6,6,0.23013,-0.0565055,0
7,6,0.989292,0.350847,0
8,6,-0.164224,0.142628,0
9,6,0.151102,0.102316,0
0,7,2.84144,-1.53262,0
1,7,1.24067,-1.49771,0
2,7,1.31838,-1.77785,0
3,7,1.07586,-2.1668,0
4,7,0.584233,-1.30526,0
5,7,1.03503,-2.53468,0
6,7,1.64685,-1.55226,0
7,7,2.67986,-1.71611,0
8,7,1.43292,-2.06905,0
9,7,-0.184833,-2.26916,0
0,8,-1.30287,-1.18028,0
1,8,-0.873469,-0.789244,0
2,8,-1.42116,-1.40419,0
3,8,-2.26294,-1.63147,0
4,8,-1.29406,-0.790779,0
5,8,-1.02457,-0.574868,0
6,8,-0.00469906,-0.444336,0
7,8,-0.788962,-1.02371,0
8,8,-0.831165,-0.954028,0
9,8,-1.37337,-0.793034,0
0,9,0.472612,1.76074,0
1,9,-0.731454,1.24608,0
2,9,0.203782,1.37434,0
3,9,-0.13989,1.42526,0
4,9,-0.301926,1.52706,0
5,9,-0.664406,1.13918,0
6,9,-0.0261785,1.58295,0
7,9,-1.39699,0.742528,0
8,9,-0.256211,1.30555,0
9,9,0.30303,1.62917,0
0,10,0.839097,1.31933,0
1,10,-0.554575,0.0535474,0
2,10,0.676474,1.52985,0
3,10,1.24956,1.64858,0
4,10,-0.00703594,0.985931,0
5,10,1.07544,1.25224,0
6,10,0.127517,1.17196,0
7,10,1.73795,1.60226,0
8,10,-0.412472,0.478267,0
9,10,1.5731,1.7758,0
0,11,0.897047,0.287603,0
1,11,1.37388,0.238926,0
2,11,-0.49651,-0.0301003,0
3,11,1.02362,0.394704,0
4,11,1.06546,0.693897,0
5,11,0.750622,0.932401,0
6,11,1.43192,0.676568,0
7,11,0.770376,0.0980354,0
8,11,1.04574,0.326412,0
9,11,1.95408,0.578964,0
0,12,-1.41604,-0.34413,0
1,12,-0.795622,-0.0941564,0
2,12,-0.303108,0.396083,0
3,12,-0.465793,0.202097,0
4,12,-0.533506,0.25127,0
5,12,0.289363,0.659601,0
6,12,-0.135097,0.380454,0
7,12,-1.31024,0.0897369,0
8,12,0.546532,1.30761,0
9,12,-0.055148,0.911056,0
0,13,2.99359,-0.337707,0
1,13,1.7613,-1.21023,0
2,13,1.26067,-0.369705,0
3,13,1.21919,-0.899796,0
4,13,2.27659,-0.630078,0
5,13,2.77242,-0.700829,0
6,13,1.14444,-0.924596,0
7,13,1.38853,-0.804939,0
8,13,0.629794,-1.35436,0
9,13,3.7246,-1.04029,0
0,14,-0.135187,-0.902436,0
1,14,-0.525175,-0.584097,0
2,14,-0.580447,-0.939397,0
3,14,0.356022,-0.980648,0
4,14,-0.241224,-0.837926,0
5,14,-0.384375,-1.44024,0
6,14,-0.569635,-0.915027,0
7,14,-0.347688,-1.02537,0
8,14,-0.954581,-0.851315,0
9,14,0.437213,-0.926902,0
0,15,-0.652732,-0.562917,0
1,15,-1.15553,-0.550393,0
2,15,-0.895848,-0.484372,0
3,15,-1.74747,-0.999741,0
4,15,-1.55548,-0.637509,0
5,15,-1.78804,-0.876006,0
6,15,-0.46028,-0.319147,0
7,15,-1.67295,-0.465945,0
8,15,-1.04845,-0.0848144,0
9,15,-2.00455,-1.10126,0
